amount,date
21,2012-02-11T09:16:25.231366
40,2012-02-11T09:16:44.850074
35,2012-02-13T00:28:00.666619
40,2012-02-13T20:16:40.714301
10,2012-02-13T20:16:50.182347
5,2012-02-14T19:34:57.968297
20,2012-02-16T22:52:09.336593
6,2012-02-16T22:52:47.477738
4,2012-02-16T22:52:52.622827
10,2012-02-16T22:55:32.664087
17,2012-02-18T17:24:37.736471
30,2012-02-21T19:36:51.301502
66,2012-02-21T19:39:13.477254
11,2012-02-24T18:09:03.560235
9,2012-02-24T18:09:08.194192
22,2012-02-26T11:04:32.852361
20,2012-02-27T18:41:24.802740
15,2012-02-27T18:41:40.970722
450,2012-03-01T23:35:42.284776
27,2012-03-01T23:35:42.284776
5,2012-03-02T18:24:33.476529
40,2012-03-02T18:24:40.765265
40,2012-03-02T18:45:35.424780
15,2012-03-05T20:30:32.707748
15,2012-03-05T20:30:34.337941
370,2012-03-06T20:40:05.286865
20,2012-03-08T00:14:42.939634
50,2012-03-15T19:39:35.611345
180,2012-03-15T19:40:02.043221
50,2012-03-15T19:50:25.610770
20,2012-03-15T19:52:15.361719
10,2012-03-15T19:52:28.306554
30,2012-03-15T19:52:42.366864
25,2012-03-16T20:13:36.789858
16,2012-03-19T19:15:04.914685
5,2012-03-19T19:15:08.662443
50,2012-03-19T19:25:51.317871
13,2012-03-24T14:31:47.453348
15,2012-03-26T20:12:26.873806
10,2012-03-26T20:16:20.160356
4,2012-03-26T20:17:13.707677
6,2012-03-26T20:17:18.822092
20,2012-03-27T19:27:22.431907
6,2012-03-28T18:42:57.542809
26,2012-03-31T14:30:33.038493
187,2012-04-01T22:19:38.282543
22,2012-04-01T22:20:53.369618
16,2012-04-04T22:59:15.970967
260,2012-04-04T22:59:47.116820
20,2012-04-15T19:52:42.312553
90,2012-04-15T20:27:18.987532
13,2012-04-16T19:14:26.114030
5,2012-04-16T19:14:41.329760
8,2012-04-18T19:06:46.399821
9,2012-04-19T18:47:12.689570
30,2012-04-19T18:47:24.254624
28,2012-04-23T20:05:40.402112
10,2012-04-23T20:05:42.761011
10,2012-04-25T15:59:58.003140
5,2012-04-26T19:22:11.852203
30,2012-04-29T11:14:47.251481
20,2012-04-30T13:48:10.120388
19,2012-04-30T13:48:13.379889
8,2012-05-01T11:37:14.212005
17,2012-05-03T20:39:22.624661
20,2012-05-04T19:47:38.840619
10,2012-05-06T14:06:33.429671
6,2012-05-09T19:12:49.904403
430,2012-05-09T20:07:07.382467
20,2012-05-09T20:09:01.150194
10,2012-05-13T17:38:24.698760
32,2012-05-13T17:39:27.536107
15,2012-05-13T17:39:36.125180
10,2012-05-15T03:34:15.457849
7,2012-05-15T21:49:09.668449
16,2012-05-17T13:25:04.002184
4,2012-05-17T13:25:06.590934
21,2012-05-19T17:14:21.630300
20,2012-05-20T12:08:11.626549
50,2012-05-21T19:25:39.649547
5,2012-05-24T20:00:33.988558
5,2012-05-24T20:00:36.376448
29,2012-05-26T15:30:38.173146
5,2012-05-27T11:07:31.240879
10,2012-05-27T11:07:37.627373
5,2012-05-27T11:07:44.359179
5,2012-05-27T11:07:56.839149
15,2012-05-28T00:36:20.266005
15,2012-05-28T00:36:46.409572
20,2012-05-29T20:56:21.060532
100,2012-05-30T21:49:12.552830
30,2012-05-30T21:48:56.716309
300,2012-05-30T21:48:43.225117
350,2012-05-30T21:48:34.811809
4,2012-05-31T19:30:27.129392
5,2012-06-02T17:11:27.240921
5,2012-06-02T17:11:30.752797
26,2012-06-04T21:58:36.308812
4,2012-06-05T20:34:37.344338
10,2012-06-05T20:34:43.558683
6,2012-06-05T20:34:52.507307
8,2012-06-05T20:35:39.758577
8,2012-06-07T19:45:14.914547
50,2012-06-08T20:23:54.340079
4,2012-06-09T20:22:26.844419
15,2012-06-09T20:22:32.014499
3,2012-06-09T20:22:44.141012
20,2012-06-10T04:23:53.525720
10,2012-06-10T22:27:09.457360
10,2012-06-10T22:27:12.060670
